metric,rf_cv_mean,rf_cv_std,xgb_cv_mean,xgb_cv_std
auc_roc,0.743940795559667,0.04806685571794302,0.7109130978941068,0.029139588575016095
auc_pr,0.8643118613441997,0.03046511606953811,0.8722319580119322,0.01912489722474671
issr_10,0.8666666666666668,0.06666666666666665,0.9,0.08164965809277258
issr_25,0.8400000000000001,0.05333333333333332,0.9333333333333333,0.0
precision_10,0.8666666666666668,0.06666666666666665,0.9,0.08164965809277258
recall_10,0.11165587419056429,0.009432079257377157,0.11591119333950047,0.010794414168965637
ndcg_10,0.868958597707097,0.10647335771427101,0.9266240968403142,0.06198216357557493
precision_25,0.8400000000000001,0.05333333333333332,0.9333333333333333,0.0
recall_25,0.2704902867715079,0.018635958330278517,0.30046253469010176,0.00317232714143984
ndcg_25,0.8412459978131395,0.07229205698236874,0.9401500523258903,0.01432570081023692
