fold,subgroup_key,subgroup_value,n_samples,n_positive,n_negative,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,method
1,overall,all,63,47,16,0.6668882978723405,0.8388551760907886,0.8333333333333334,0.8,0.8333333333333334,0.10638297872340426,0.892210845475489,0.8,0.2553191489361702,0.8404008558458066,RandomForest
1,virus,EBV,36,29,7,0.6157635467980296,0.8713514852654823,1.0,0.8888888888888888,1.0,0.10344827586206896,1.0,0.8888888888888888,0.27586206896551724,0.9156661796367774,RandomForest
1,virus,HPV16,27,18,9,0.7314814814814815,0.8108705655274282,0.5,0.8333333333333334,0.5,0.05555555555555555,0.6131471927654585,0.8333333333333334,0.2777777777777778,0.8090791338210653,RandomForest
2,overall,all,63,47,16,0.7480053191489362,0.8721205663358188,0.8333333333333334,0.8,0.8333333333333334,0.10638297872340426,0.9461054227377445,0.8,0.2553191489361702,0.8460307754198149,RandomForest
2,virus,EBV,35,25,10,0.698,0.8249903932324986,1.0,0.75,1.0,0.12,0.8826803184943108,0.75,0.24,0.7921960693468402,RandomForest
2,virus,HPV16,28,22,6,0.7992424242424243,0.9126175008264087,1.0,0.8571428571428571,1.0,0.09090909090909091,1.0,0.8571428571428571,0.2727272727272727,0.8876402630072038,RandomForest
3,overall,all,63,47,16,0.7287234042553191,0.8527188233091919,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.10638297872340426,0.8090791338210653,0.8666666666666667,0.2765957446808511,0.8354878285282593,RandomForest
3,virus,EBV,43,34,9,0.6601307189542484,0.8308458364581827,0.75,0.8,0.75,0.08823529411764706,0.6096199500078981,0.8,0.23529411764705882,0.7015099647232445,RandomForest
3,virus,HPV16,20,13,7,0.8021978021978022,0.9009234077821835,1.0,1.0,1.0,0.15384615384615385,1.0,1.0,0.38461538461538464,0.9999999999999999,RandomForest
4,overall,all,63,46,17,0.7608695652173914,0.8378855637866159,0.8333333333333334,0.8,0.8333333333333334,0.10869565217391304,0.6973975865011866,0.8,0.2608695652173913,0.7279793277967551,RandomForest
4,virus,EBV,38,24,14,0.7440476190476191,0.744620380944878,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.5307212739772434,0.6666666666666666,0.25,0.580000928374021,RandomForest
4,virus,HPV16,25,22,3,0.8333333333333333,0.9780100561320655,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,RandomForest
5,overall,all,63,46,17,0.8152173913043478,0.919979177198583,1.0,0.9333333333333333,1.0,0.13043478260869565,1.0,0.9333333333333333,0.30434782608695654,0.9563312014750617,RandomForest
5,virus,EBV,39,30,9,0.8481481481481481,0.9515485083231598,1.0,1.0,1.0,0.1,1.0,1.0,0.3,1.0,RandomForest
5,virus,HPV16,24,16,8,0.79296875,0.8736688202148729,1.0,0.8333333333333334,1.0,0.125,1.0,0.8333333333333334,0.3125,0.8829374068620365,RandomForest
1,overall,all,63,47,16,0.6928191489361701,0.8652107533121092,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.10638297872340426,0.892210845475489,0.9333333333333333,0.2978723404255319,0.9392277702622795,XGBoost
1,virus,EBV,36,29,7,0.5911330049261083,0.8643670883947061,1.0,0.8888888888888888,1.0,0.10344827586206896,1.0,0.8888888888888888,0.27586206896551724,0.9090719693810212,XGBoost
1,virus,HPV16,27,18,9,0.7901234567901234,0.8935293534120766,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,XGBoost
2,overall,all,63,47,16,0.7446808510638298,0.8887181332174229,1.0,0.9333333333333333,1.0,0.1276595744680851,1.0,0.9333333333333333,0.2978723404255319,0.9524097620981294,XGBoost
2,virus,EBV,35,25,10,0.732,0.875524474258101,1.0,0.875,1.0,0.12,1.0,0.875,0.28,0.9202054614375519,XGBoost
2,virus,HPV16,28,22,6,0.7878787878787878,0.9234462787376123,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.3181818181818182,1.0000000000000002,XGBoost
3,overall,all,63,47,16,0.6848404255319149,0.8677108971486998,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.10638297872340426,0.892210845475489,0.9333333333333333,0.2978723404255319,0.9392277702622795,XGBoost
3,virus,EBV,43,34,9,0.6764705882352942,0.8831723275862876,1.0,0.9,1.0,0.11764705882352941,0.9999999999999998,0.9,0.2647058823529412,0.914856882358379,XGBoost
3,virus,HPV16,20,13,7,0.6813186813186813,0.8417442150741743,1.0,0.8,1.0,0.15384615384615385,1.0,0.8,0.3076923076923077,0.8687949224876581,XGBoost
4,overall,all,63,46,17,0.6841432225063939,0.8426025358167368,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.10869565217391304,0.8486987932505933,0.9333333333333333,0.30434782608695654,0.9146953908606976,XGBoost
4,virus,EBV,38,24,14,0.6428571428571428,0.7477089143341531,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.08333333333333333,0.7039180890341348,0.8888888888888888,0.3333333333333333,0.8517027694298509,XGBoost
4,virus,HPV16,25,22,3,0.803030303030303,0.9716993467363179,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,1.0,XGBoost
5,overall,all,63,46,17,0.7480818414322251,0.8969174705646924,1.0,0.9333333333333333,1.0,0.13043478260869565,1.0,0.9333333333333333,0.30434782608695654,0.9551895681460654,XGBoost
5,virus,EBV,39,30,9,0.7481481481481481,0.9244024006143317,1.0,1.0,1.0,0.1,1.0,1.0,0.3,1.0,XGBoost
5,virus,HPV16,24,16,8,0.765625,0.8473435931543517,1.0,0.8333333333333334,1.0,0.125,1.0,0.8333333333333334,0.3125,0.8696762340896294,XGBoost
