fold,subgroup_key,subgroup_value,n_samples,n_positive,n_negative,auc_roc,auc_pr,issr_10,issr_25
1,overall,all,141,98,43,0.5548172757475083,0.7586422842284782,0.8571428571428571,0.7428571428571429
1,virus,EBV,89,61,28,0.540983606557377,0.7591584228706938,0.875,0.7727272727272727
1,virus,HPV16,52,37,15,0.5765765765765766,0.7688914586324462,0.8,0.6923076923076923
2,overall,all,141,98,43,0.7064546748932131,0.8246024502627224,0.8571428571428571,0.8857142857142857
2,virus,EBV,89,57,32,0.705592105263158,0.8122006978205956,1.0,0.8636363636363636
2,virus,HPV16,52,41,11,0.6651884700665189,0.8411243448536699,0.6,0.8461538461538461
3,overall,all,141,98,43,0.5956336022781205,0.7733939204947494,0.9285714285714286,0.8285714285714286
3,virus,EBV,98,69,29,0.6046976511744128,0.7997757603104126,1.0,0.7916666666666666
3,virus,HPV16,43,29,14,0.5763546798029556,0.7489399596251772,0.75,0.8
4,overall,all,141,98,43,0.6343141907925961,0.7902903298172359,0.7857142857142857,0.8285714285714286
4,virus,EBV,87,61,26,0.7017654476670869,0.8262294580253315,0.875,0.8571428571428571
4,virus,HPV16,54,37,17,0.5405405405405406,0.7482684210997921,0.8,0.7692307692307693
5,overall,all,140,98,42,0.5502915451895043,0.7629297753188957,0.8571428571428571,0.7428571428571429
5,virus,EBV,96,65,31,0.5548387096774193,0.7159163245252944,0.7777777777777778,0.7083333333333334
5,virus,HPV16,44,33,11,0.5206611570247933,0.8249954453633619,1.0,0.8181818181818182
