method,virus,n_peptides,gs_found,gs_in_top_10pct,gs_in_top_25pct,gs_recovery_top10,gs_recovery_top25,mean_rank_pct,median_rank_pct
RF (SESTRAV),EBV,21002,10,4,6,0.4,0.6,22.760213313017807,19.221978859156273
XGBoost,EBV,21002,10,1,3,0.1,0.3,45.57851633177792,47.583563470145705
ANN (MLP),EBV,21002,10,4,6,0.4,0.6,27.065041424626223,21.295590896105132
Binding-only baseline,EBV,21002,10,10,10,1.0,1.0,1.7198362060756118,1.3093991048471576
RF (SESTRAV),HPV,5347,5,0,1,0.0,0.2,46.54946699083598,51.9169627828689
XGBoost,HPV,5347,5,0,0,0.0,0.0,59.28184028427155,53.39442678137273
ANN (MLP),HPV,5347,5,0,0,0.0,0.0,67.52945576959041,65.77520104731626
Binding-only baseline,HPV,5347,5,5,5,1.0,1.0,2.7267626706564427,2.225547035720965
RF (SESTRAV),Combined,26349,15,4,7,0.26666666666666666,0.4666666666666667,34.65484015192689,35.56947082101259
XGBoost,Combined,26349,15,1,3,0.06666666666666667,0.2,52.430178308024736,50.48899512575922
ANN (MLP),Combined,26349,15,4,6,0.26666666666666666,0.4,47.29724859710832,43.5353959717107
Binding-only baseline,Combined,26349,15,15,15,1.0,1.0,2.2232994383660274,1.7674730702840613
